date,time,location,download,upload
2018-12-19,03:13,Vejle,1326.51,865.34
2018-04-06,05:01,Kolding,136.44,535.83
2018-01-08,19:20,Rødovre,2256.91,835.94
2018-10-01,14:33,Gladsaxe,1994.2,623.64
2018-12-23,16:00,Furesø,2252.39,977.1
2018-10-11,16:39,Frederikshavn,1757.24,1225.93
2018-06-28,15:32,Herning,1105.71,851.9
2018-03-27,18:31,Silkeborg,137.72,826.65
2018-06-12,17:36,Guldborgsund,854.2,814.59
2018-11-10,17:09,Nordfyn,391.7,557.06
2018-06-27,00:43,Faaborg-Midtfyn,942.72,237.1
2018-08-10,21:14,Aalborg,593.08,1064.67
2018-12-18,14:40,Ringsted,1390.94,172.7
2018-03-06,07:50,Horsens,1988.77,879.63
2018-07-27,02:05,Hedensted,1540.8,19.07
2018-03-21,13:12,Bornholm,93.54,603.06
2018-02-19,10:03,Randers,1601.66,1076.04
2018-02-04,02:13,Lyngby-Taarbæk,1251.44,914.0
2018-07-26,05:23,Vejle,991.7,1239.34
2018-04-12,02:32,Sorø,185.99,1091.53
2018-08-07,22:34,Horsens,1739.95,985.26
2018-10-12,21:42,Hvidovre,693.75,601.46
2018-02-05,04:44,Rødovre,2267.8,534.51
2018-02-04,07:25,Fanø,2122.96,558.19
2018-02-20,17:48,Rødovre,2533.94,148.62
2018-08-07,04:26,Hjørring,1183.65,1064.74
2018-05-31,07:54,Nordfyn,2453.49,666.51
2018-02-10,11:54,Tårnby,1303.48,1239.92
2018-05-24,12:49,Bornholm,242.98,141.55
2018-05-17,07:18,Morsø,1938.95,802.76
2018-03-06,20:50,Faxe,1150.63,243.69
2018-04-13,15:14,Dragør,47.74,521.54
2018-08-19,05:07,Sønderborg,1794.71,307.87
2018-06-22,23:20,Brøndby,1554.24,1094.73
2018-08-19,17:23,Assens,1780.53,43.16
2018-07-09,19:08,Fanø,1796.99,249.77
2018-03-08,13:49,Billund,1254.58,475.24
2018-01-20,22:33,Samsø,243.54,297.91
2018-07-06,21:45,Lejre,74.48,1165.91
2018-09-20,07:29,Ikast-Brande,2013.34,68.18
2018-02-14,12:12,Horsens,1260.48,444.09
2018-05-17,14:27,Sorø,2257.91,1245.29
2018-01-02,02:16,Samsø,1250.46,507.04
2018-12-22,07:10,Faxe,809.65,1139.04
2018-02-22,23:46,Faaborg-Midtfyn,115.73,901.54
2018-07-31,19:29,Helsingør,2115.56,1135.47
2018-07-25,03:51,Horsens,2178.65,147.89
2018-09-01,19:03,Kerteminde,1795.83,827.36
2018-02-18,07:20,Herning,1607.82,969.87
2018-12-22,18:20,Nordfyn,769.54,1093.32
2018-09-05,10:50,Glostrup,391.96,576.09
2018-08-11,12:22,Halsnæs,561.23,1072.91
2018-08-28,22:48,Ballerup,1826.72,1180.27
2018-06-18,06:11,Skanderborg,1858.6,490.01
2018-01-22,11:57,Frederikssund,1368.93,1139.44
2018-10-06,23:13,Syddjurs,202.33,646.09
2018-01-19,16:32,Skive,942.15,1111.51
2018-09-06,18:19,Varde,1428.33,910.51
2018-10-02,07:20,Holstebro,1342.44,813.85
2018-11-25,13:59,Morsø,88.27,499.67
2018-11-28,18:50,Slagelse,1856.81,961.36
2018-05-10,17:31,Mariagerfjord,2426.94,52.74
2018-05-08,00:20,Middelfart,2422.2,682.9
2018-06-20,06:13,Vallensbæk,24.97,52.11
2018-12-20,17:56,Kerteminde,171.03,594.21
2018-02-09,11:47,Aalborg,692.48,776.45
2018-06-13,11:21,Haderslev,1324.61,387.65
2018-09-11,10:31,Ikast-Brande,1169.37,457.42
2018-10-28,13:26,Vallensbæk,7.83,851.26
2018-04-26,22:58,Ringsted,259.13,310.33
2018-08-10,18:35,Faaborg-Midtfyn,2259.05,498.32
2018-10-04,11:50,Allerød,1351.71,316.55
2018-12-01,13:33,Skanderborg,2147.69,23.7
2018-09-29,11:37,Sønderborg,192.23,333.93
2018-01-15,22:00,Hjørring,618.61,204.31
2018-06-06,16:39,Odense,545.51,1168.38
2018-10-17,08:30,Brønderslev,1818.69,443.12
2018-06-11,08:25,Helsingør,164.55,286.69
2018-01-14,00:09,Faaborg-Midtfyn,2210.02,556.81
2018-04-21,20:38,Lolland,373.5,502.59
2018-04-23,09:27,Langeland,1092.09,879.07
2018-01-08,23:56,Faaborg-Midtfyn,462.48,41.72
2018-03-26,09:15,Rødovre,1115.57,164.05
2018-04-19,05:28,Fredericia,230.4,794.0
2018-03-28,11:13,Odsherred,126.31,28.51
2018-02-17,08:47,Halsnæs,2301.63,1274.62
2018-05-26,20:50,Vallensbæk,2198.29,434.43
2018-10-03,13:32,Hillerød,1185.83,15.86
2018-01-29,18:21,Nordfyn,1273.22,279.02
2018-02-21,12:52,Billund,1627.29,1134.8
2018-07-09,20:09,Hillerød,1861.97,1120.67
2018-06-20,13:53,Struer,847.98,342.38
2018-03-01,03:50,Syddjurs,47.22,1243.32
2018-09-20,17:02,Tårnby,1226.57,517.8
2018-12-16,09:19,Lolland,1492.91,685.09
2018-09-21,21:30,Faxe,2087.62,1043.54
2018-02-08,17:51,Lolland,2288.34,886.56
2018-01-24,12:45,Syddjurs,1887.97,789.88
2018-01-09,14:26,Køge,433.87,559.2
2018-12-22,09:36,Jammerbugt,874.47,366.97
2018-12-30,06:10,Langeland,1263.91,1244.0
2018-12-05,07:09,Norddjurs,1026.8,207.29
2018-04-02,09:19,Læsø,1910.6,8.05
2018-10-08,06:14,Kolding,1987.72,239.3
2018-08-13,12:28,Haderslev,2379.39,52.52
2018-08-24,01:08,Struer,307.77,338.2
2018-01-23,18:57,Esbjerg,1783.09,625.17
2018-09-30,00:03,Frederikssund,932.54,823.58
2018-11-12,00:56,Ringkøbing-Skjern,419.69,904.36
2018-10-24,17:19,Mariagerfjord,1543.23,202.57
2018-12-13,16:32,Guldborgsund,114.71,1007.51
2018-11-30,20:18,Rudersdal,1213.5,925.55
2018-01-31,19:20,Gladsaxe,1057.51,663.21
2018-06-14,19:56,Odder,597.35,517.03
2018-08-14,00:52,Guldborgsund,1235.89,819.34
2018-11-21,08:26,Bornholm,323.48,140.94
2018-07-24,12:14,Hjørring,1785.32,1073.59
2018-03-25,12:58,Mariagerfjord,2190.18,288.73
2018-01-02,10:37,Brønderslev,970.85,302.42
2018-10-11,15:14,Frederiksberg,1717.12,1095.32
2018-08-28,20:25,Frederikssund,1732.77,839.58
2018-03-13,05:29,Mariagerfjord,481.01,389.15
2018-07-28,03:52,Lejre,2523.68,1007.39
2018-06-20,07:32,Favrskov,2459.87,1119.54
2018-03-11,22:40,Læsø,834.68,184.74
2018-11-13,23:17,Fredensborg,1080.9,43.51
2018-05-14,00:19,Frederikshavn,2048.8,322.04
2018-01-09,03:28,Faxe,2208.86,1275.04
2018-04-02,23:00,Lemvig,1416.62,1.4
2018-11-08,14:52,Gribskov,1877.31,1148.18
2018-04-12,07:27,Sorø,788.17,717.34
2018-11-18,05:04,Ikast-Brande,1882.62,243.39
2018-03-20,20:57,Hørsholm,284.49,1106.3
2018-10-03,16:31,Sorø,1841.83,164.94
2018-01-24,23:40,Solrød,1380.25,934.9
2018-08-01,16:06,Sønderborg,1397.35,750.68
2018-05-29,08:52,Hillerød,790.7,507.27
2018-10-18,01:18,Køge,1638.97,229.93
2018-10-16,17:48,Fredericia,2253.94,461.36
2018-08-21,10:13,Sorø,12.31,543.83
2018-08-17,00:37,Vesthimmerland,1716.64,1010.37
2018-07-09,05:39,Faxe,557.75,854.49
2018-04-17,11:17,Gladsaxe,2401.82,888.15
2018-12-28,00:54,Guldborgsund,2047.13,1017.78
2018-11-07,00:19,Ishøj,1938.0,158.6
2018-08-26,06:07,Faxe,1095.0,1123.45
2018-08-26,06:23,Fredericia,2556.68,107.2
2018-05-02,14:42,Odsherred,1451.4,109.29
2018-05-23,16:54,Greve,2145.67,1214.03
2018-01-27,16:38,Vejle,999.4,448.53
2018-07-05,12:26,Hjørring,2042.57,107.53
2018-09-09,11:15,Rebild,1194.37,50.98
2018-11-09,04:40,Faaborg-Midtfyn,2.42,211.33
2018-10-12,21:13,Hedensted,417.31,461.21
2018-04-28,22:14,Fanø,2133.91,85.28
2018-12-26,17:55,Kalundborg,413.95,76.67
2018-08-23,09:34,Ballerup,1997.6,232.14
2018-07-19,17:49,Slagelse,391.75,868.77
2018-05-09,14:33,Hørsholm,586.85,624.75
2018-03-26,21:59,Dragør,1223.5,434.34
2018-11-29,07:34,Ringkøbing-Skjern,267.14,493.37
2018-12-21,18:24,Rebild,1693.39,1054.4
2018-01-19,09:39,Tønder,664.8,803.73
2018-11-14,21:43,Holstebro,419.97,642.23
2018-10-14,04:00,Vallensbæk,1068.29,1262.39
2018-06-18,20:12,Ikast-Brande,18.85,1251.17
2018-03-14,06:46,Odense,509.08,967.8
2018-11-16,08:54,Aalborg,358.26,5.92
2018-10-19,21:43,Thisted,1107.78,56.65
2018-04-27,03:36,Tønder,245.47,25.56
2018-02-21,08:14,Odense,2330.73,13.18
2018-02-15,05:58,Herlev,451.18,443.49
2018-02-05,08:46,Odense,21.06,947.79
2018-10-20,07:07,Vallensbæk,1252.47,1220.3
2018-10-28,08:16,Halsnæs,884.11,1050.91
2018-08-20,20:45,Vejle,835.41,593.37
2018-12-25,19:09,Kalundborg,513.02,244.43
2018-10-27,08:22,Fredensborg,1009.49,356.59
2018-10-02,18:07,Næstved,987.02,562.31
2018-01-11,16:06,Furesø,2532.78,81.09
2018-11-09,18:41,Albertslund,2158.67,1194.88
2018-03-26,19:08,Fredensborg,1784.8,974.24
2018-04-17,11:38,Rudersdal,1522.35,637.55
2018-03-28,04:33,Herlev,837.09,974.49
2018-02-23,00:38,Aarhus,38.52,709.44
2018-10-30,13:37,Hvidovre,2248.62,371.18
2018-09-03,13:52,Fredensborg,2330.23,496.89
2018-12-26,13:59,Odense,1817.43,1081.43
2018-07-14,09:23,Gladsaxe,1410.24,965.93
2018-11-04,12:14,Ringsted,2005.21,309.71
2018-09-27,19:44,Frederikssund,2199.14,846.34
2018-07-12,07:52,Køge,744.32,913.52
2018-05-16,04:02,Struer,600.94,777.7
2018-05-26,00:45,Sorø,1254.98,464.61
2018-06-03,21:13,Assens,2524.21,1270.81
2018-12-19,19:45,Skanderborg,1055.11,102.99
2018-10-04,01:40,Aarhus,1912.59,1116.56
2018-11-17,10:10,Samsø,2409.67,332.93
2018-05-29,23:48,Brønderslev,1600.14,698.06
2018-10-26,02:52,Sønderborg,1556.54,477.65
2018-09-02,16:53,Esbjerg,1863.47,1100.08
2018-05-30,10:15,Copenhagen,1508.19,451.43
2018-10-01,22:55,Esbjerg,916.56,1022.16
2018-02-06,00:18,Ishøj,355.55,587.22
2018-12-20,01:03,Guldborgsund,1372.54,1047.33
2018-02-27,21:15,Syddjurs,2075.0,1108.73
2018-12-05,17:45,Lemvig,1293.68,1224.08
2018-07-07,19:25,Holbæk,936.97,1169.91
2018-05-01,22:54,Fredensborg,1717.5,850.22
2018-06-27,15:07,Mariagerfjord,516.72,924.96
2018-01-25,14:22,Struer,2446.17,912.57
2018-01-30,18:02,Viborg,2344.75,575.3
2018-03-22,05:31,Greve,811.28,807.02
2018-07-23,08:27,Holstebro,2537.19,539.09
2018-08-24,03:31,Frederikshavn,1240.75,934.96
2018-09-08,17:39,Lyngby-Taarbæk,1614.72,93.82
2018-10-08,04:51,Syddjurs,2260.7,694.08
2018-08-20,04:11,Furesø,23.93,1023.02
2018-03-05,19:49,Hillerød,195.1,812.81
2018-01-12,20:25,Herlev,222.16,280.14
2018-03-23,18:12,Roskilde,68.88,256.18
2018-08-10,20:08,Albertslund,373.98,545.27
2018-05-09,21:50,Kalundborg,1687.22,384.18
2018-09-12,03:44,Holstebro,55.18,936.11
2018-04-03,08:49,Hørsholm,473.77,183.93
2018-08-01,05:51,Hedensted,1039.87,567.65
2018-02-27,16:04,Langeland,974.2,470.38
2018-12-15,10:51,Ærø,826.0,912.19
2018-11-23,18:23,Rebild,1642.64,227.94
2018-02-05,09:55,Gribskov,1169.7,1194.87
2018-04-10,03:29,Gribskov,1116.47,976.11
2018-01-14,06:13,Struer,1748.95,11.11
2018-07-24,08:32,Glostrup,244.49,342.69
2018-10-19,15:43,Aarhus,827.17,1166.21
2018-07-12,18:42,Aabenraa,1689.74,545.6
2018-10-26,14:41,Kolding,1798.78,555.77
2018-10-11,03:24,Copenhagen,1170.25,678.9
2018-09-27,21:06,Haderslev,1720.92,1243.91
2018-08-26,22:21,Roskilde,1058.15,891.57
2018-02-15,19:23,Herlev,96.66,364.69
2018-11-13,10:25,Næstved,125.79,108.29
2018-01-06,14:55,Lolland,2527.0,1128.98
2018-03-06,02:27,Ishøj,352.53,333.38
2018-08-08,22:34,Lyngby-Taarbæk,971.5,272.79
2018-09-29,11:54,Copenhagen,353.83,1195.49
2018-02-12,04:46,Ikast-Brande,774.06,1154.44
2018-08-26,13:37,Skanderborg,699.54,237.8
2018-11-16,14:49,Stevns,2306.15,394.8
2018-04-08,07:27,Hørsholm,941.2,845.38
2018-04-15,09:23,Ringkøbing-Skjern,1424.77,871.14
2018-02-12,08:18,Vesthimmerland,469.21,30.69
2018-05-18,10:36,Halsnæs,690.88,915.53
2018-01-21,18:25,Rødovre,102.14,1260.88
2018-02-02,08:52,Silkeborg,23.41,923.25
2018-12-28,21:53,Middelfart,1004.21,909.81
2018-03-12,22:39,Kalundborg,107.1,74.14
2018-12-20,22:19,Egedal,2004.96,137.79
2018-12-15,17:22,Sorø,1606.66,804.82
2018-12-05,04:40,Norddjurs,723.93,421.24
2018-02-03,08:52,Brønderslev,1895.79,205.82
2018-04-20,23:57,Favrskov,2292.19,988.84
2018-11-14,02:11,Hedensted,1378.06,980.05
2018-05-18,11:48,Horsens,1361.31,1001.89
2018-12-25,08:32,Langeland,2030.74,871.37
2018-04-11,20:39,Sorø,2413.13,911.35
2018-06-10,06:15,Svendborg,1448.78,662.13
2018-01-27,02:27,Faaborg-Midtfyn,1082.47,865.19
2018-07-02,04:01,Ærø,1100.02,470.78
2018-05-30,16:06,Næstved,658.77,174.69
2018-07-23,00:18,Silkeborg,1998.42,328.82
2018-12-12,01:31,Randers,2223.76,1088.29
2018-10-05,01:11,Lolland,651.41,105.82
2018-03-03,23:14,Skanderborg,1718.28,593.42
2018-10-10,07:02,Nordfyn,347.26,1170.19
2018-11-07,20:10,Greve,63.45,625.89
2018-11-02,08:36,Lolland,1647.64,286.67
2018-08-02,01:35,Tønder,1407.05,484.13
2018-02-04,02:19,Holbæk,250.33,375.25
2018-11-13,10:33,Odsherred,194.59,777.92
2018-06-23,20:50,Lejre,2530.7,182.81
2018-09-25,01:45,Guldborgsund,760.38,546.24
2018-12-07,08:13,Holbæk,1539.38,1127.82
2018-06-02,08:05,Mariagerfjord,750.87,927.48
2018-05-01,02:57,Høje-Taastrup,1466.23,1192.5
2018-12-07,13:51,Aalborg,919.23,378.01
2018-07-23,20:45,Solrød,1922.2,1099.22
2018-02-14,05:21,Norddjurs,1647.9,150.24
2018-05-02,06:18,Favrskov,1213.27,796.13
2018-03-19,15:03,Kerteminde,1040.36,565.97
2018-07-05,00:38,Holbæk,1333.55,682.16
2018-09-17,13:56,Kalundborg,2513.78,512.59
2018-01-10,05:09,Faxe,1933.09,349.75
2018-12-16,07:03,Ballerup,2231.07,276.95
2018-08-22,17:34,Odsherred,318.85,597.95
2018-05-14,17:47,Lejre,1892.83,1259.15
2018-12-29,10:23,Herlev,1461.51,214.89
2018-10-13,00:23,Læsø,2361.24,689.29
2018-09-16,08:11,Køge,2018.0,446.3
2018-04-24,11:38,Odsherred,2147.32,1006.45
2018-08-09,00:37,Jammerbugt,197.83,586.49
2018-08-04,19:08,Copenhagen,2403.88,1089.29
2018-10-03,03:20,Kolding,1054.19,143.21
2018-12-25,06:48,Halsnæs,2424.16,831.05
2018-09-16,19:36,Guldborgsund,1841.46,698.9
2018-04-21,10:37,Odsherred,177.26,1201.14
2018-10-30,16:11,Nyborg,1645.08,27.07
2018-09-17,09:23,Egedal,694.26,884.69
2018-01-21,08:50,Silkeborg,987.92,273.63
2018-08-27,21:00,Ringkøbing-Skjern,797.4,662.53
2018-07-20,12:35,Tårnby,1744.08,591.05
2018-06-01,18:05,Odense,106.46,782.13
2018-01-31,08:30,Gentofte,1118.1,271.56
2018-12-11,13:22,Kerteminde,1839.42,802.57
2018-09-11,04:20,Lejre,1415.85,446.46
2018-06-26,14:59,Køge,1626.78,788.9
2018-01-18,12:33,Syddjurs,1482.33,736.03
2018-06-25,16:26,Ballerup,1718.14,157.8
2018-08-07,20:04,Ringsted,1219.71,826.65
2018-05-07,20:26,Haderslev,1766.14,234.33
2018-04-29,23:06,Varde,1848.02,420.03
2018-10-21,08:54,Herning,2320.63,422.08
2018-12-08,06:57,Odder,1624.89,430.16
2018-07-08,19:18,Odsherred,332.76,254.63
2018-08-29,02:13,Allerød,1286.22,224.29
2018-08-09,13:07,Rudersdal,2118.16,691.7
2018-03-19,22:29,Gentofte,148.58,1245.15
2018-05-16,10:35,Vesthimmerland,1655.56,53.63
2018-07-02,15:47,Tårnby,191.97,812.64
2018-01-08,21:07,Norddjurs,656.92,310.32
2018-06-08,11:58,Gentofte,2271.03,813.51
2018-04-28,02:34,Fredensborg,2205.47,948.62
2018-09-30,03:13,Holbæk,567.26,715.92
2018-07-15,14:13,Norddjurs,1080.56,107.06
2018-02-19,15:57,Middelfart,1731.27,840.39
2018-05-20,14:42,Favrskov,40.54,451.64
2018-12-22,18:16,Dragør,2348.25,600.94
2018-12-24,13:56,Vejen,1155.79,1143.13
2018-10-06,00:41,Brøndby,867.67,714.15
2018-12-31,11:00,Fanø,251.12,1095.84
2018-11-03,07:09,Fanø,2409.2,558.07
2018-01-04,14:07,Silkeborg,851.52,64.34
2018-08-18,02:37,Brønderslev,563.48,797.5
2018-06-06,02:27,Aabenraa,623.81,821.53
2018-08-16,04:49,Ærø,2077.52,53.66
2018-04-03,22:49,Bornholm,316.06,133.31
2018-04-26,09:34,Tønder,933.65,1099.19
2018-02-25,19:29,Langeland,573.72,530.49
2018-04-27,12:16,Høje-Taastrup,667.11,24.09
2018-09-20,08:10,Køge,1961.0,678.88
2018-01-10,16:28,Odsherred,1490.23,1007.54
2018-08-22,15:41,Fredericia,195.41,80.84
2018-07-20,17:59,Holstebro,453.66,1156.48
2018-04-28,16:31,Varde,13.99,1168.61
2018-10-03,01:44,Lolland,1579.43,258.69
2018-01-21,04:22,Helsingør,442.73,264.58
2018-01-03,10:58,Hedensted,2329.07,1253.56
2018-02-12,19:29,Esbjerg,681.73,452.34
2018-06-13,08:50,Hvidovre,1811.31,361.56
2018-08-04,17:18,Viborg,830.93,239.45
2018-07-29,14:19,Frederikssund,2006.02,1252.46
2018-04-09,18:36,Næstved,2359.02,412.02
2018-01-17,04:41,Lemvig,2221.33,721.78
2018-02-16,02:48,Furesø,400.41,525.6
2018-11-18,11:24,Odder,79.19,155.64
2018-05-04,15:25,Gladsaxe,630.88,1159.27
